nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img,user
BUBBLE TEA DE JAMAICA CON COCO,Bebidas,1h,Facil,4,"['suficiente de agua', '2 tazas de perlas de tapioca negra, también puedes usar tapioca blanca', '1/2 tazas de miel de agave, para endulzar y conservar las perlas de tapioca', 'suficiente de agua, para el bubble tea de jamaica', '1 taza de flor de jamaica, para el bubble tea de jamaica', 'al gusto de hielo, para el bubble tea de jamaica', 'al gusto de jarabe natural, para el bubble tea de jamaica', 'al gusto de agua de coco, para el bubble tea de jamaica', 'al gusto de brocheta de fresa con jamaica, para el bubble tea de jamaica']","['Cocina las perlas de tapioca en una olla con suficiente agua a fuego medio por 30 minutos, cuidando que no se peguen y no se evapore el líquido. Además, considera que el tiempo de cocción puede variar dependiendo del tamaño de la tapioca y en el caso de la tapioca blanca, al ser más pequeña, podría estar lista en 40 minutos.\n\nSabrás que la tapioca blanca está lista cuando se vea transparente, mientras que la tapioca negra estará lista cuando esté suave, ligeramente transparente y su tamaño haya aumentado.\n\nCuando las perlas estén listas, transfiérelas a un bowl, vierte la miel de agave y deja enfriar.', 'Para el bubble tea de jamaica: cocina la flor de jamaica en una olla por 10 minutos. Deja enfriar y reserva.', 'En un vaso alto, agrega las perlas de tapioca, los hielos, el jarabe, el agua de coco y por último el concentrado de jamaica. Decora el bubble tea con la brocheta de fresa.']",https://cdn7.kiwilimon.com/brightcove/10301/10301.jpg,1
TÉ Y LIMONADA DE BUGAMBILIA,Bebidas,5 mins,Facil,2,"['2 tazas de agua, para el té', '10 flores de bugambilia , para el té', 'al gusto de miel, para la limonada de bugambilia', '1 taza de té de bugambilia, para la limonada de bugambilia', '1/4 tazas de jugo de limón, para la limonada de bugambilia', 'al gusto de hielo, para la limonada de bugambilia', 'al gusto de agua mineral, para la limonada de bugambilia']","['Para el té de bugambilia: Calienta el agua en una olla pequeña, cuando comience a hervir, apaga el fuego. Añade las flores de bugambilia, deja reposar de 3 a 5 minutos, cuela y sirve el té.', 'Para la limonada de bugambilia: mezcla la miel con el té de bugambilia frío hasta que se disuelva, vierte el jugo de limón, agrega el hielo y añade un toque de agua mineral.', 'Disfruta de este té y limonada, ¡son Bebidas refrescantes que también cuidan tu salud!']",https://cdn7.kiwilimon.com/brightcove/10272/10272.jpg,1
BEBIDA DE MAZAPÁN CON PERLAS DE TAPIOCA,Bebidas,1h,Facil,4,"['suficiente de agua', '2 tazas de perlas de tapioca negra, también puedes usar tapioca blanca', '1/2 tazas de miel de agave, para endulzar y conservar las perlas de tapioca', '1/2 tazas de leche condensada, para el bubble tea de mazapán', '1/2 tazas de leche evaporada, para el bubble tea de mazapán', '3/4 tazas de leche, para el bubble tea de mazapán', '2 mazapanes, para el bubble tea de mazapán', 'suficiente de hielo, para el bubble tea de mazapán', 'al gusto de crema batida, para el bubble tea de mazapán', 'al gusto de canela en polvo, para el bubble tea de mazapán']","['Cocina las perlas de tapioca en una olla con suficiente agua a fuego medio por 30 minutos, cuidando que no se peguen y no se evapore el líquido. Además, considera que el tiempo de cocción puede variar dependiendo del tamaño de la tapioca y en el caso de la tapioca blanca, al ser más pequeña, podría estar lista en 40 minutos. Sabrás que la tapioca blanca está lista cuando se vea transparente, mientras que la tapioca negra estará lista cuando esté suave, ligeramente transparente y su tamaño haya aumentado. Cuando las perlas estén listas, transfiérelas a un bowl, vierte la miel de agave y deja enfriar.', 'Para el bubble tea de mazapán: licúa la leche condensada, la leche evaporada, la leche, el mazapán por 5 minutos o hasta obtener una mezcla homogénea. Sirve un poco de tapioca en un vaso, añade el hielo, vierte la bebida de mazapán y decora con crema batida, canela en polvo y mazapán.']",https://cdn7.kiwilimon.com/brightcove/10265/10265.jpg,14
RECETA DE HORCHATA DE CAFÉ,Bebidas,7 mins,Facil,4,"['1/2 tazas de Harina de Arroz Tres Estrellas®', '2 tazas de agua', '1/2 rajas de canela', '1 lata de leche condensada', '1 cucharada de esencia de vainilla', '1 litro de agua', '1 lata de leche evaporada, caliente, para disolver', '3 cucharadas de café soluble, caliente, para disolver', 'al gusto de canela en polvo']","['Coloca la Harina de arroz Tres Estrellas® en un bowl, vierte el agua y disuelve. Reserva.', 'Licúa la preparación anterior con la canela y la leche condensada. Reserva.', 'Calienta el agua en una olla a fuego medio la preparación anterior y cocina a fuego medio por 7 minutos. Deja enfriar y reserva.', 'Disuelve la leche evaporada con el café soluble y mezcla hasta integrar. Reserva.', 'Sirve la horchata con el litro de agua para disolver en un vaso con hielos, agrega la preparación de café y decora con canela en polvo.']",https://cdn7.kiwilimon.com/brightcove/10256/10256.jpg,14
MALTEADA DE AGUACATE,Bebidas,20 mins,Facil,2,"['1 plátano, congelado', '1 aguacate', 'al gusto de miel', '1 cucharada de vainilla clara', '2 1/2 tazas de leche de coco', 'al gusto de nibs de cacao , para decorar', 'al gusto de plátano, en rodajas, para decorar']","['Licúa el plátano, el aguacate, la miel, la vainilla y la leche de coco hasta que todos los ingredientes estén bien integrados.', 'Sirve la malteada en vasos y decora con nibs de cacao y plátano.']",https://cdn7.kiwilimon.com/brightcove/10245/10245.jpg,15
PIÑA COLADA CON MATCHA,Bebidas,5 mins,Facil,1,"['3/4 tazas de crema de coco', '1 cucharada de Té Matcha McCormick®', '1/2 tazas de jugo de piña', '2 onzas de ron', '1 taza de hielo', 'al gusto de piña']","['Agrega la crema de coco en una olla, calienta a fuego medio, agrega el Té Matcha McCormick®, retira del fuego y deja infusionar por 5 minutos. Deja enfriar.', 'Licúa la infusión de Té Matcha McCormick® con coco, el jugo de piña, el ron y los hielos.', 'Sirve la piña colada con té matcha en un vaso tiki y decora con piña.']",https://cdn7.kiwilimon.com/brightcove/10242/10242.jpg,15
BUBBLE TEA DE TARO,Bebidas,30 mins,Facil,2,"['1/2 tazas de tapioca negra', '1 cucharada de néctar de agave', '1 1/2 tazas de té negro', '1/8 tazas de leche', '3 cucharadas de taro en polvo', '1 1/2 tazas de hielo']","['Cocina la tapioca en una olla con agua hirviendo durante 30 minutos o según las instrucciones del empaque. Cuela y mezcla la tapioca con la miel de agave. Reserva.', 'Licúa el té negro, la leche, el taro y los hielos hasta obtener una consistencia de frappé.', 'Coloca la tapioca en un vaso, vierte el frappé de taro y disfruta del refrescante y delicioso sabor de este bubble tea casero.']",https://cdn7.kiwilimon.com/brightcove/10173/10173.jpg,1
ATOLE DE ARROZ CON LECHE,Bebidas,20 mins,Facil,6,"['2 tazas de agua', '1 taza de arroz, enjuagado y escurrido', '1 raja de canela', '1 taza de leche evaporada', '1 taza de leche condensada', '1 taza de leche entera', '1 cucharada de fécula de maíz', '1 cucharada de esencia de vainilla', 'al gusto de canela, para decorar']","['Calienta el agua, la raja de canela y el arroz en una cacerola a fuego medio. Cocina por 15 minutos o hasta que el arroz esté suave. Reserva.', 'Remueve la raja de canela y licúa el arroz, la leche evaporada, la leche condensada, la leche entera y la esencia de vainilla hasta que todo esté bien integrado. Reserva.', 'Regresa la preparación a la olla y diluye la fécula de maíz con un poco del atole. Posteriormente, vierte la fécula diluida en el atole, mezcla y cocina a fuego bajo por 5 minutos.', 'Sirve el atole de arroz con leche en una taza y espolvorea con canela.']",https://cdn7.kiwilimon.com/brightcove/9950/9950.jpg,15
MALTEADA DE GALLETAS,Bebidas,15 mins,Facil,1,"['suficiente de galletas Chokis®', 'suficiente de chocolate, derretido', '1/2 tazas de helado de chocolate bajo en grasa', '1 taza de leche descremada light', '4 galletas Chokis®', 'suficiente de chocolate, derretido, para decorar', 'suficiente de crema batida, para decorar', 'suficiente de malvaviscos, en brocheta, para decorar', 'suficiente de galletas Chokis®, para decorar']","['Coloca las Galletas Chokis® en una bolsa resellable y utiliza un rodillo para aplastar, hasta obtener un polvo semifino. Reserva.', 'Sumerge la boca del vaso de malteada en el chocolate derretido y pasa sobre las galletas pulverizadas para que se adhieran. Agrega un poco de chocolate derretido al interior del vaso formando líneas. Reserva.', 'Licúa el helado de chocolate, la leche y las Galletas Chokis® por 3 minutos o hasta obtener una consistencia ligeramente espesa. Reserva la malteada de galletas.', 'Sirve en un vaso para malteada y decora con crema batida, malvaviscos y Galletas Chokis®.']",https://cdn7.kiwilimon.com/brightcove/9823/9823.jpg,14
MONSTER SHAKE DE CAFÉ,Bebidas,15 mins,Facil,2,"['3 tazas de café molido, para preparar en tu Royal Prestige® Barista', '8 tazas de agua', '2 tazas de helado de vainilla', '1/2 tazas de leche', 'suficiente de jarabe de chocolate, para decorar el vaso', 'suficiente de crema de avellanas, para decorar el vaso', 'suficiente de chocolate amargo, en barra, troceado, para decorar el vaso', 'suficiente de crema batida, para decorar la bebida', 'suficiente de jarabe de chocolate, ara decorar la bebida', 'suficiente de bombón, asado, ara decorar la bebida', 'suficiente de nuez, finamente picada, ara decorar la bebida']","['Agrega el café al Royal Prestige® Barista.', 'Añade agua y tapa con el pistón levantado.', 'Alinea el ícono de calentar con el pico servidor.', 'Abre la válvula, calienta a fuego medio alto hasta que silbe y retira del fuego inmediatamente.', 'Deja reposar por 2 minutos y empuja el pistón lentamente, hasta llegar al fondo.', 'Cierra la válvula y gira al ícono de servir. Deja enfriar y sirve 4 onzas de café en un caballito.', 'Licúa el helado, la leche y el café por 5 minutos o hasta obtener una mezcla homogénea y espesa. Reserva.', 'Utiliza una espátula para untar el borde del vaso con crema de avellanas, vierte el jarabe de chocolate en las paredes y cubre el borde con cubitos de chocolate. Posteriormente, sirve la malteada de café, cubre con crema batida, añade el bombón asado y espolvorea con nuez.']",https://cdn7.kiwilimon.com/brightcove/9589/9589.jpg,17
